snr_db,drop_index,selected_ssb,subcarrier,raw_power,normalized_power
-2.0,0,3,119,1.0649150846626665,1.0000000000000002
-2.0,0,3,120,1.064485256907096,1.0000000000000002
-2.0,0,3,121,1.0640477560508252,0.9999999999999998
-2.0,0,3,122,1.0636026341520814,1.0
-2.0,0,3,123,1.063149944175919,0.9999999999999996
-2.0,0,3,124,1.0626897399879172,1.0000000000000007
-2.0,0,3,125,1.0622220763477737,0.9999999999999997
-2.0,0,3,126,1.0617470089027843,0.9999999999999999
-2.0,0,3,127,1.0612645941812233,1.0
-2.0,0,3,128,1.0607748895856195,0.9999999999999994
-2.0,0,3,129,1.0602779533859223,0.9999999999999999
-2.0,0,3,130,1.0597738447125686,1.0000000000000009
-2.0,0,3,131,1.059262623549451,1.0000000000000007
-2.0,0,3,132,1.0587443507267764,1.0000000000000004
-2.0,0,3,133,1.058219087913826,0.9999999999999999
-2.0,0,3,134,1.0576868976116216,0.9999999999999993
-2.0,0,3,135,1.057147843145487,1.0000000000000002
-2.0,0,3,136,1.0566019886575149,0.9999999999999994
-2.0,0,3,137,1.056049399098928,1.0000000000000007
-2.0,0,3,138,1.0554901402223607,0.9999999999999999
-2.0,0,3,139,1.0549242785740236,1.0000000000000004
-2.0,0,3,140,1.054351881485796,1.0000000000000002
-2.0,0,3,141,1.053773017067207,0.9999999999999999
-2.0,0,3,142,1.0531877541973331,1.0
-2.0,0,3,143,1.0525961625166027,0.9999999999999996
-2.0,0,3,144,1.051998312418511,0.9999999999999992
-2.0,0,3,145,1.051394275041239,1.0000000000000002
-2.0,0,3,146,1.0507841222591972,0.9999999999999991
-2.0,0,3,147,1.0501679266744615,1.0000000000000004
-2.0,0,3,148,1.0495457616081458,1.0000000000000004
-2.0,0,3,149,1.0489177010916717,0.9999999999999993
-2.0,0,3,150,1.048283819857959,1.0
-2.0,0,3,151,1.0476441933325353,1.0000000000000007
-2.0,0,3,152,1.0469988976245632,0.9999999999999994
-2.0,0,3,153,1.0463480095177744,1.0000000000000004
-2.0,0,3,154,1.0456916064613493,0.9999999999999999
-2.0,0,3,155,1.0450297665606836,0.9999999999999998
-2.0,0,3,156,1.0443625685681082,1.0000000000000004
-2.0,0,3,157,1.043690091873513,0.9999999999999998
-2.0,0,3,158,1.043012416494898,1.0
-2.0,0,3,159,1.0423296230688575,1.0000000000000004
-2.0,0,3,160,1.0416417928409811,1.0000000000000007
-2.0,0,3,161,1.0409490076561871,0.9999999999999994
-2.0,0,3,162,1.0402513499489832,1.000000000000001
-2.0,0,3,163,1.0395489027336628,0.9999999999999998
-2.0,0,3,164,1.0388417495944169,0.9999999999999994
-2.0,0,3,165,1.0381299746753974,1.000000000000001
-2.0,0,3,166,1.0374136626707047,1.0000000000000002
-2.0,0,3,167,1.036692898814301,0.9999999999999996
-2.0,0,3,168,1.0359677688698778,1.0000000000000004
-2.0,0,3,169,1.0352383591206482,1.0000000000000002
-2.0,0,3,170,1.0345047563590775,0.9999999999999998
-2.0,0,3,171,1.0337670478765577,1.0
-2.0,0,3,172,1.0330253214530214,1.0000000000000002
-2.0,0,3,173,1.0322796653464954,0.9999999999999997
-2.0,0,3,174,1.031530168282599,1.0
-2.0,0,3,175,1.030776919443989,0.9999999999999993
-2.0,0,3,176,1.0300200084597424,1.0000000000000002
-2.0,0,3,177,1.0292595253946988,1.0
-2.0,0,3,178,1.0284955607387372,0.9999999999999998
-2.0,0,3,179,1.0277282053960126,0.9999999999999993
-2.0,0,3,180,1.0269575506741349,1.0
-2.0,0,3,181,1.0261836882733113,0.9999999999999999
-2.0,0,3,182,1.0254067102754276,0.9999999999999993
-2.0,0,3,183,1.024626709133096,0.9999999999999993
-2.0,0,3,184,1.023843777658652,0.9999999999999999
-2.0,0,3,185,1.0230580090131114,1.0
-2.0,0,3,186,1.0222694966950852,1.0000000000000004
-2.0,0,3,187,1.021478334529654,1.0
-2.0,0,3,188,1.020684616657204,0.9999999999999997
-2.0,0,3,189,1.0198884375222237,1.0
-2.0,0,3,190,1.0190898918620688,0.9999999999999996
-2.0,0,3,191,1.0182890746956867,0.9999999999999999
-2.0,0,3,192,1.0174860813123114,1.0000000000000007
-2.0,0,3,193,1.0166810072601264,1.0000000000000007
-2.0,0,3,194,1.015873948334893,1.0000000000000007
-2.0,0,3,195,1.0150650005685526,0.9999999999999998
-2.0,0,3,196,1.0142542602177986,0.9999999999999994
-2.0,0,3,197,1.013441823752625,0.9999999999999991
-2.0,0,3,198,1.0126277878448473,0.9999999999999998
-2.0,0,3,199,1.0118122493565973,1.0000000000000002
-2.0,0,3,200,1.0109953053288008,0.9999999999999997
-2.0,0,3,201,1.0101770529696255,1.0000000000000004
-2.0,0,3,202,1.0093575896429217,0.9999999999999999
-2.0,0,3,203,1.008537012856628,1.0000000000000004
-2.0,0,3,204,1.0077154202511776,1.0000000000000002
-2.0,0,3,205,1.0068929095878736,1.0000000000000007
